price,timestamp,cost,amount,symbol,datetime,type
0.13428,1710823209252,74.47125409591898,1.0,DOGE/USD:DOGE,2024-03-19T04:40:09.252Z,
0.13429,1710823209963,13478.293245960236,181.0,DOGE/USD:DOGE,2024-03-19T04:40:09.963Z,
0.13427,1710823209964,18842.630520592837,253.0,DOGE/USD:DOGE,2024-03-19T04:40:09.964Z,
0.13427,1710823210236,43047.59067550458,578.0,DOGE/USD:DOGE,2024-03-19T04:40:10.236Z,
0.1343,1710823210581,2903.946388682055,39.0,DOGE/USD:DOGE,2024-03-19T04:40:10.581Z,
0.13431,1710823210588,74.45461990916536,1.0,DOGE/USD:DOGE,2024-03-19T04:40:10.588Z,
0.13432,1710823210588,30077.427039904705,404.0,DOGE/USD:DOGE,2024-03-19T04:40:10.588Z,
0.13433,1710823210589,32755.1552147696,440.0,DOGE/USD:DOGE,2024-03-19T04:40:10.589Z,
0.13434,1710823210940,11984.516897424446,161.0,DOGE/USD:DOGE,2024-03-19T04:40:10.940Z,
0.13434,1710823211405,14515.408664582403,195.0,DOGE/USD:DOGE,2024-03-19T04:40:11.405Z,
0.13433,1710823211406,17122.012953175017,230.0,DOGE/USD:DOGE,2024-03-19T04:40:11.406Z,
0.13432,1710823211406,26727.21858248958,359.0,DOGE/USD:DOGE,2024-03-19T04:40:11.406Z,
0.13431,1710823211864,7445.461990916537,100.0,DOGE/USD:DOGE,2024-03-19T04:40:11.864Z,
0.1343,1710823211864,13477.28965003723,181.0,DOGE/USD:DOGE,2024-03-19T04:40:11.864Z,
0.13429,1710823211874,20627.001265917046,277.0,DOGE/USD:DOGE,2024-03-19T04:40:11.874Z,
0.13423,1710823214281,74.49899426357744,1.0,DOGE/USD:DOGE,2024-03-19T04:40:14.281Z,
0.13423,1710823214833,9535.871265737913,128.0,DOGE/USD:DOGE,2024-03-19T04:40:14.833Z,
0.13425,1710823214982,12439.47858472998,167.0,DOGE/USD:DOGE,2024-03-19T04:40:14.982Z,
0.13426,1710823214984,74.48234768359899,1.0,DOGE/USD:DOGE,2024-03-19T04:40:14.984Z,
0.13427,1710823215290,10426.752066731213,140.0,DOGE/USD:DOGE,2024-03-19T04:40:15.290Z,
0.13431,1710823215865,74.45461990916536,1.0,DOGE/USD:DOGE,2024-03-19T04:40:15.865Z,
0.13435,1710823216502,2232.973576479345,30.0,DOGE/USD:DOGE,2024-03-19T04:40:16.502Z,
0.13439,1710823216997,2678.770741870675,36.0,DOGE/USD:DOGE,2024-03-19T04:40:16.997Z,
0.13439,1710823217037,595.2823870823722,8.0,DOGE/USD:DOGE,2024-03-19T04:40:17.037Z,
