price,amount,datetime,cost,type,symbol,timestamp
0.14858,1576.0,2024-03-21T05:08:40.603Z,234.16208,limit,DOGE/USDT,1710997720603
0.14857,8233.0,2024-03-21T05:08:44.288Z,1223.17681,limit,DOGE/USDT,1710997724288
0.14854,8645.0,2024-03-21T05:08:47.934Z,1284.1283,limit,DOGE/USDT,1710997727934
0.14855,6372.0,2024-03-21T05:08:53.698Z,946.5606,limit,DOGE/USDT,1710997733698
0.14854,8991.0,2024-03-21T05:08:55.322Z,1335.52314,limit,DOGE/USDT,1710997735322
0.14854,8736.0,2024-03-21T05:08:59.500Z,1297.64544,limit,DOGE/USDT,1710997739500
0.14859,8743.0,2024-03-21T05:09:03.232Z,1299.12237,limit,DOGE/USDT,1710997743232
0.14851,1831.0,2024-03-21T05:09:31.107Z,271.92181,limit,DOGE/USDT,1710997771107
0.14848,2364.0,2024-03-21T05:09:42.223Z,351.00672,limit,DOGE/USDT,1710997782223
0.14846,1261.0,2024-03-21T05:09:43.189Z,187.20806,market,DOGE/USDT,1710997783189
0.14841,8989.0,2024-03-21T05:10:02.712Z,1334.05749,limit,DOGE/USDT,1710997802712
0.14836,5854.0,2024-03-21T05:10:06.949Z,868.49944,limit,DOGE/USDT,1710997806949
0.14843,4380.0,2024-03-21T05:10:09.074Z,650.1234,limit,DOGE/USDT,1710997809074
0.14844,187.0,2024-03-21T05:10:12.121Z,27.75828,limit,DOGE/USDT,1710997812121
0.1484,6024.0,2024-03-21T05:10:16.938Z,893.9616,limit,DOGE/USDT,1710997816938
0.14839,5515.0,2024-03-21T05:10:24.288Z,818.37085,limit,DOGE/USDT,1710997824288
0.14839,8856.0,2024-03-21T05:10:25.906Z,1314.14184,limit,DOGE/USDT,1710997825906
0.14827,4.0,2024-03-21T05:10:40.427Z,0.59308,limit,DOGE/USDT,1710997840427
