type,cost,datetime,timestamp,symbol,price,amount
,187.1176742,2024-03-22T22:12:20.000Z,1711145540000,DOGE/USDT,0.15034,1244.63
,205.3297338,2024-03-22T22:12:20.000Z,1711145540000,DOGE/USDT,0.15033,1365.86
,6.4386468,2024-03-22T22:12:45.000Z,1711145565000,DOGE/USDT,0.15012,42.89
,192.483504,2024-03-22T22:12:51.000Z,1711145571000,DOGE/USDT,0.15019,1281.6
,20.7188328,2024-03-22T22:12:51.000Z,1711145571000,DOGE/USDT,0.15018,137.96
,129.7525164,2024-03-22T22:12:51.000Z,1711145571000,DOGE/USDT,0.15018,863.98
,746.7848981,2024-03-22T22:12:55.000Z,1711145575000,DOGE/USDT,0.15017,4972.93
,978.2419191,2024-03-22T22:12:55.000Z,1711145575000,DOGE/USDT,0.15017,6514.23
,1722.4293458,2024-03-22T22:13:19.000Z,1711145599000,DOGE/USDT,0.15031,11459.18
,11293.9597118,2024-03-22T22:13:20.000Z,1711145600000,DOGE/USDT,0.15031,75137.78
,1172.2975776,2024-03-22T22:13:20.000Z,1711145600000,DOGE/USDT,0.15032,7798.68
,4950.4838996,2024-03-22T22:13:20.000Z,1711145600000,DOGE/USDT,0.15031,32935.16
,526.2462688,2024-03-22T22:13:20.000Z,1711145600000,DOGE/USDT,0.15032,3500.84
,7.7300076,2024-03-22T22:13:46.000Z,1711145626000,DOGE/USDT,0.15036,51.41
,183.8807373,2024-03-22T22:13:48.000Z,1711145628000,DOGE/USDT,0.15041,1222.53
,1298.7961476,2024-03-22T22:13:48.000Z,1711145628000,DOGE/USDT,0.15036,8637.91
,1655.6110012,2024-03-22T22:13:48.000Z,1711145628000,DOGE/USDT,0.15041,11007.32
,6.3099696,2024-03-22T22:14:14.000Z,1711145654000,DOGE/USDT,0.15056,41.91
,8.7276168,2024-03-22T22:14:39.000Z,1711145679000,DOGE/USDT,0.15058,57.96
,48.754566,2024-03-22T22:14:52.000Z,1711145692000,DOGE/USDT,0.15057,323.8
,43.7482192,2024-03-22T22:14:54.000Z,1711145694000,DOGE/USDT,0.15056,290.57
,63.6118915,2024-03-22T22:14:59.000Z,1711145699000,DOGE/USDT,0.15055,422.53
,376.1115375,2024-03-22T22:14:59.000Z,1711145699000,DOGE/USDT,0.15055,2498.25
,20.9441722,2024-03-22T22:15:01.000Z,1711145701000,DOGE/USDT,0.15058,139.09
,238.2198084,2024-03-22T22:15:03.000Z,1711145703000,DOGE/USDT,0.15057,1582.12
,286.2360162,2024-03-22T22:15:03.000Z,1711145703000,DOGE/USDT,0.15058,1900.89
,2849.0624422,2024-03-22T22:15:04.000Z,1711145704000,DOGE/USDT,0.15058,18920.59
,137.681208,2024-03-22T22:15:04.000Z,1711145704000,DOGE/USDT,0.15057,914.4
,335.7244233,2024-03-22T22:15:05.000Z,1711145705000,DOGE/USDT,0.15057,2229.69
,872.4959334,2024-03-22T22:15:05.000Z,1711145705000,DOGE/USDT,0.15057,5794.62
,36.204264,2024-03-22T22:15:11.000Z,1711145711000,DOGE/USDT,0.15055,240.48
,157.02365,2024-03-22T22:15:11.000Z,1711145711000,DOGE/USDT,0.15055,1043.0
,197.939322,2024-03-22T22:15:13.000Z,1711145713000,DOGE/USDT,0.15057,1314.6
,160.0574157,2024-03-22T22:15:13.000Z,1711145713000,DOGE/USDT,0.15057,1063.01
,362.1509232,2024-03-22T22:15:14.000Z,1711145714000,DOGE/USDT,0.15058,2405.04
,262.9524366,2024-03-22T22:15:15.000Z,1711145715000,DOGE/USDT,0.15057,1746.38
,23.925573,2024-03-22T22:15:15.000Z,1711145715000,DOGE/USDT,0.15057,158.9
,206.2170682,2024-03-22T22:15:16.000Z,1711145716000,DOGE/USDT,0.15053,1369.94
,17.4253528,2024-03-22T22:15:16.000Z,1711145716000,DOGE/USDT,0.15053,115.76
,229.1937936,2024-03-22T22:15:18.000Z,1711145718000,DOGE/USDT,0.15052,1522.68
,278.115804,2024-03-22T22:15:18.000Z,1711145718000,DOGE/USDT,0.15052,1847.7
,63.9027246,2024-03-22T22:15:20.000Z,1711145720000,DOGE/USDT,0.15054,424.49
,40.1460072,2024-03-22T22:15:20.000Z,1711145720000,DOGE/USDT,0.15054,266.68
,12.7982555,2024-03-22T22:15:20.000Z,1711145720000,DOGE/USDT,0.15055,85.01
,62.7547984,2024-03-22T22:15:24.000Z,1711145724000,DOGE/USDT,0.15052,416.92
,693.0340988,2024-03-22T22:15:25.000Z,1711145725000,DOGE/USDT,0.15053,4603.96
,13.2866604,2024-03-22T22:15:25.000Z,1711145725000,DOGE/USDT,0.15054,88.26
,425.09672,2024-03-22T22:15:25.000Z,1711145725000,DOGE/USDT,0.15053,2824.0
,95.1138858,2024-03-22T22:15:32.000Z,1711145732000,DOGE/USDT,0.15053,631.86
,190.2262663,2024-03-22T22:15:32.000Z,1711145732000,DOGE/USDT,0.15053,1263.71
,183.4411392,2024-03-22T22:15:34.000Z,1711145734000,DOGE/USDT,0.15048,1219.04
,110.3033448,2024-03-22T22:15:34.000Z,1711145734000,DOGE/USDT,0.15048,733.01
,6.1436901,2024-03-22T22:15:35.000Z,1711145735000,DOGE/USDT,0.15047,40.83
,64.8497646,2024-03-22T22:15:35.000Z,1711145735000,DOGE/USDT,0.15046,431.01
,55.4767843,2024-03-22T22:15:37.000Z,1711145737000,DOGE/USDT,0.15047,368.69
,93.1439394,2024-03-22T22:15:37.000Z,1711145737000,DOGE/USDT,0.15047,619.02
,61.3513712,2024-03-22T22:15:42.000Z,1711145742000,DOGE/USDT,0.15043,407.84
,13.7417805,2024-03-22T22:15:42.000Z,1711145742000,DOGE/USDT,0.15043,91.35
,48.4928296,2024-03-22T22:15:44.000Z,1711145744000,DOGE/USDT,0.15044,322.34
,96.6143594,2024-03-22T22:15:48.000Z,1711145748000,DOGE/USDT,0.15041,642.34
,269.3421952,2024-03-22T22:15:48.000Z,1711145748000,DOGE/USDT,0.15041,1790.72
,27.9120318,2024-03-22T22:15:51.000Z,1711145751000,DOGE/USDT,0.15038,185.61
,12.9874569,2024-03-22T22:15:51.000Z,1711145751000,DOGE/USDT,0.15037,86.37
,822.1635512,2024-03-22T22:15:52.000Z,1711145752000,DOGE/USDT,0.15038,5467.24
,168.0331082,2024-03-22T22:15:52.000Z,1711145752000,DOGE/USDT,0.15038,1117.39
,53.1627852,2024-03-22T22:15:55.000Z,1711145755000,DOGE/USDT,0.15036,353.57
,44.5351284,2024-03-22T22:15:55.000Z,1711145755000,DOGE/USDT,0.15036,296.19
,61.8073815,2024-03-22T22:15:55.000Z,1711145755000,DOGE/USDT,0.15035,411.09
,51.183253,2024-03-22T22:15:56.000Z,1711145756000,DOGE/USDT,0.15034,340.45
,36.629613,2024-03-22T22:15:58.000Z,1711145758000,DOGE/USDT,0.1503,243.71
,47.6963692,2024-03-22T22:15:58.000Z,1711145758000,DOGE/USDT,0.15031,317.32
,62.604459,2024-03-22T22:15:58.000Z,1711145758000,DOGE/USDT,0.1503,416.53
,108.1555605,2024-03-22T22:15:58.000Z,1711145758000,DOGE/USDT,0.15031,719.55
,34.8506184,2024-03-22T22:16:00.000Z,1711145760000,DOGE/USDT,0.15027,231.92
,59.303675,2024-03-22T22:16:00.000Z,1711145760000,DOGE/USDT,0.15025,394.7
,20.8261525,2024-03-22T22:16:00.000Z,1711145760000,DOGE/USDT,0.15025,138.61
,147.5829474,2024-03-22T22:16:04.000Z,1711145764000,DOGE/USDT,0.15023,982.38
,208.7265574,2024-03-22T22:16:04.000Z,1711145764000,DOGE/USDT,0.15023,1389.38
,38.490252,2024-03-22T22:16:05.000Z,1711145765000,DOGE/USDT,0.1502,256.26
,82.682096,2024-03-22T22:16:05.000Z,1711145765000,DOGE/USDT,0.1502,550.48
,13.6670156,2024-03-22T22:16:05.000Z,1711145765000,DOGE/USDT,0.15022,90.98
,28.490878,2024-03-22T22:16:06.000Z,1711145766000,DOGE/USDT,0.15011,189.8
,61.977792,2024-03-22T22:16:06.000Z,1711145766000,DOGE/USDT,0.15014,412.8
,17.8458894,2024-03-22T22:16:06.000Z,1711145766000,DOGE/USDT,0.15018,118.83
,53.274039,2024-03-22T22:16:06.000Z,1711145766000,DOGE/USDT,0.15011,354.9
,59.4839666,2024-03-22T22:16:06.000Z,1711145766000,DOGE/USDT,0.15014,396.19
,167.6960496,2024-03-22T22:16:07.000Z,1711145767000,DOGE/USDT,0.15012,1117.08
,129.4845048,2024-03-22T22:16:07.000Z,1711145767000,DOGE/USDT,0.15012,862.54
,62.6796036,2024-03-22T22:16:08.000Z,1711145768000,DOGE/USDT,0.15012,417.53
,37.8842832,2024-03-22T22:16:08.000Z,1711145768000,DOGE/USDT,0.15012,252.36
,14.9149296,2024-03-22T22:16:08.000Z,1711145768000,DOGE/USDT,0.15011,99.36
,113.1499158,2024-03-22T22:16:10.000Z,1711145770000,DOGE/USDT,0.15011,753.78
,74.4561888,2024-03-22T22:16:11.000Z,1711145771000,DOGE/USDT,0.15008,496.11
,29.7234626,2024-03-22T22:16:13.000Z,1711145773000,DOGE/USDT,0.15002,198.13
,344.328,2024-03-22T22:16:15.000Z,1711145775000,DOGE/USDT,0.15,2295.52
,128.7700841,2024-03-22T22:16:15.000Z,1711145775000,DOGE/USDT,0.15001,858.41
,378.921,2024-03-22T22:16:15.000Z,1711145775000,DOGE/USDT,0.15,2526.14
,59.8884923,2024-03-22T22:16:15.000Z,1711145775000,DOGE/USDT,0.15001,399.23
,160.0481574,2024-03-22T22:16:16.000Z,1711145776000,DOGE/USDT,0.14998,1067.13
,271.2508284,2024-03-22T22:16:16.000Z,1711145776000,DOGE/USDT,0.14998,1808.58
,1160.8106157,2024-03-22T22:16:17.000Z,1711145777000,DOGE/USDT,0.15003,7737.19
,1205.8706259,2024-03-22T22:16:17.000Z,1711145777000,DOGE/USDT,0.15003,8037.53
,184.2080578,2024-03-22T22:16:18.000Z,1711145778000,DOGE/USDT,0.15002,1227.89
,128.199591,2024-03-22T22:16:18.000Z,1711145778000,DOGE/USDT,0.15002,854.55
,73.1673636,2024-03-22T22:16:19.000Z,1711145779000,DOGE/USDT,0.14997,487.88
,92.402189,2024-03-22T22:16:20.000Z,1711145780000,DOGE/USDT,0.14995,616.22
,1252.3914922,2024-03-22T22:16:20.000Z,1711145780000,DOGE/USDT,0.14998,8350.39
,178.6339355,2024-03-22T22:16:20.000Z,1711145780000,DOGE/USDT,0.14995,1191.29
,87.8387866,2024-03-22T22:16:20.000Z,1711145780000,DOGE/USDT,0.14998,585.67
,256.8187307,2024-03-22T22:16:21.000Z,1711145781000,DOGE/USDT,0.14987,1713.61
,210.0158284,2024-03-22T22:16:21.000Z,1711145781000,DOGE/USDT,0.14987,1401.32
,40.8233626,2024-03-22T22:16:22.000Z,1711145782000,DOGE/USDT,0.14986,272.41
,44.5024256,2024-03-22T22:16:22.000Z,1711145782000,DOGE/USDT,0.14986,296.96
,122.5035981,2024-03-22T22:16:24.000Z,1711145784000,DOGE/USDT,0.14989,817.29
,16.3889726,2024-03-22T22:16:24.000Z,1711145784000,DOGE/USDT,0.14989,109.34
,34.196687,2024-03-22T22:16:27.000Z,1711145787000,DOGE/USDT,0.1499,228.13
,15.5645776,2024-03-22T22:16:28.000Z,1711145788000,DOGE/USDT,0.14989,103.84
,121.203144,2024-03-22T22:16:29.000Z,1711145789000,DOGE/USDT,0.1499,808.56
,24.201355,2024-03-22T22:16:29.000Z,1711145789000,DOGE/USDT,0.1499,161.45
,1602.5130492,2024-03-22T22:16:30.000Z,1711145790000,DOGE/USDT,0.14996,10686.27
,426.7801925,2024-03-22T22:16:30.000Z,1711145790000,DOGE/USDT,0.14995,2846.15
,1518.562442,2024-03-22T22:16:30.000Z,1711145790000,DOGE/USDT,0.14996,10126.45
,481.474455,2024-03-22T22:16:30.000Z,1711145790000,DOGE/USDT,0.14995,3210.9
,30.1543965,2024-03-22T22:16:31.000Z,1711145791000,DOGE/USDT,0.14991,201.15
,1750.9506931,2024-03-22T22:16:34.000Z,1711145794000,DOGE/USDT,0.14987,11683.13
,196.6436888,2024-03-22T22:16:34.000Z,1711145794000,DOGE/USDT,0.14989,1311.92
,234.6063291,2024-03-22T22:16:34.000Z,1711145794000,DOGE/USDT,0.14989,1565.19
,495.0415918,2024-03-22T22:16:34.000Z,1711145794000,DOGE/USDT,0.14987,3303.14
,118.795086,2024-03-22T22:16:37.000Z,1711145797000,DOGE/USDT,0.14985,792.76
,12.656331,2024-03-22T22:16:37.000Z,1711145797000,DOGE/USDT,0.14985,84.46
,235.0180464,2024-03-22T22:16:40.000Z,1711145800000,DOGE/USDT,0.14984,1568.46
,15.9849312,2024-03-22T22:16:40.000Z,1711145800000,DOGE/USDT,0.14984,106.68
,262.0161919,2024-03-22T22:16:41.000Z,1711145801000,DOGE/USDT,0.14981,1748.99
,41.6722179,2024-03-22T22:16:41.000Z,1711145801000,DOGE/USDT,0.14983,278.13
,46.5879138,2024-03-22T22:16:41.000Z,1711145801000,DOGE/USDT,0.14981,310.98
,316.3095936,2024-03-22T22:16:43.000Z,1711145803000,DOGE/USDT,0.14976,2112.11
,167.7896064,2024-03-22T22:16:43.000Z,1711145803000,DOGE/USDT,0.14976,1120.39
,23.978177,2024-03-22T22:16:43.000Z,1711145803000,DOGE/USDT,0.14977,160.1
,684.472133,2024-03-22T22:16:47.000Z,1711145807000,DOGE/USDT,0.14978,4569.85
,73.010261,2024-03-22T22:16:47.000Z,1711145807000,DOGE/USDT,0.14978,487.45
,19.1930255,2024-03-22T22:16:49.000Z,1711145809000,DOGE/USDT,0.14977,128.15
,21.0998634,2024-03-22T22:16:49.000Z,1711145809000,DOGE/USDT,0.14974,140.91
,614.9900671,2024-03-22T22:16:49.000Z,1711145809000,DOGE/USDT,0.14977,4106.23
,31.8494592,2024-03-22T22:16:50.000Z,1711145810000,DOGE/USDT,0.14976,212.67
,319.6058112,2024-03-22T22:16:50.000Z,1711145810000,DOGE/USDT,0.14976,2134.12
,31.9549272,2024-03-22T22:16:51.000Z,1711145811000,DOGE/USDT,0.14977,213.36
,33.7132175,2024-03-22T22:16:51.000Z,1711145811000,DOGE/USDT,0.14975,225.13
,38.0101283,2024-03-22T22:16:51.000Z,1711145811000,DOGE/USDT,0.14977,253.79
,12.4051305,2024-03-22T22:16:52.000Z,1711145812000,DOGE/USDT,0.14973,82.85
,172.1475756,2024-03-22T22:16:52.000Z,1711145812000,DOGE/USDT,0.14973,1149.72
,632.791152,2024-03-22T22:16:53.000Z,1711145813000,DOGE/USDT,0.1498,4224.24
,67.6362188,2024-03-22T22:16:53.000Z,1711145813000,DOGE/USDT,0.14981,451.48
,222.008094,2024-03-22T22:16:53.000Z,1711145813000,DOGE/USDT,0.1498,1482.03
,28.8726606,2024-03-22T22:16:54.000Z,1711145814000,DOGE/USDT,0.14977,192.78
,251.944803,2024-03-22T22:17:02.000Z,1711145822000,DOGE/USDT,0.14982,1681.65
,16.6079366,2024-03-22T22:17:02.000Z,1711145822000,DOGE/USDT,0.14981,110.86
,56.4431868,2024-03-22T22:17:02.000Z,1711145822000,DOGE/USDT,0.14982,376.74
,300.23928,2024-03-22T22:17:03.000Z,1711145823000,DOGE/USDT,0.14982,2004.0
,42.7827398,2024-03-22T22:17:03.000Z,1711145823000,DOGE/USDT,0.14981,285.58
,1355.5524641,2024-03-22T22:17:03.000Z,1711145823000,DOGE/USDT,0.14983,9047.27
,227.4385458,2024-03-22T22:17:03.000Z,1711145823000,DOGE/USDT,0.14981,1518.18
,1392.5754571,2024-03-22T22:17:03.000Z,1711145823000,DOGE/USDT,0.14983,9294.37
,130.886252,2024-03-22T22:17:06.000Z,1711145826000,DOGE/USDT,0.1498,873.74
,118.942698,2024-03-22T22:17:06.000Z,1711145826000,DOGE/USDT,0.1498,794.01
,60.8010624,2024-03-22T22:17:09.000Z,1711145829000,DOGE/USDT,0.14976,405.99
,206.8990925,2024-03-22T22:17:11.000Z,1711145831000,DOGE/USDT,0.14975,1381.63
,177.3773775,2024-03-22T22:17:11.000Z,1711145831000,DOGE/USDT,0.14975,1184.49
,58.114368,2024-03-22T22:17:15.000Z,1711145835000,DOGE/USDT,0.14976,388.05
,110.8059264,2024-03-22T22:17:15.000Z,1711145835000,DOGE/USDT,0.14976,739.89
,113.1853989,2024-03-22T22:17:16.000Z,1711145836000,DOGE/USDT,0.14973,755.93
