amount,datetime,type,symbol,price,cost,timestamp
21623.0,2024-03-17T00:01:46.454Z,limit,DOGE/USDT,0.14351,3103.11673,1710633706454
25754.0,2024-03-17T00:01:49.107Z,limit,DOGE/USDT,0.14356,3697.24424,1710633709107
28370.0,2024-03-17T00:01:55.450Z,limit,DOGE/USDT,0.14357,4073.0809,1710633715450
928.0,2024-03-17T00:01:59.708Z,limit,DOGE/USDT,0.14357,133.23296,1710633719708
13088.0,2024-03-17T00:02:01.831Z,limit,DOGE/USDT,0.14353,1878.52064,1710633721831
3423.0,2024-03-17T00:02:35.422Z,limit,DOGE/USDT,0.14392,492.63816,1710633755422
8731.0,2024-03-17T00:02:38.571Z,limit,DOGE/USDT,0.14392,1256.56552,1710633758571
22222.0,2024-03-17T00:02:52.374Z,limit,DOGE/USDT,0.14408,3201.74576,1710633772374
18010.0,2024-03-17T00:02:53.982Z,limit,DOGE/USDT,0.14415,2596.1415,1710633773982
13499.0,2024-03-17T00:02:56.183Z,limit,DOGE/USDT,0.14412,1945.47588,1710633776183
7066.0,2024-03-17T00:03:02.601Z,limit,DOGE/USDT,0.1439,1016.7974,1710633782601
7128.0,2024-03-17T00:03:21.474Z,limit,DOGE/USDT,0.14386,1025.43408,1710633801474
24488.0,2024-03-17T00:03:50.623Z,limit,DOGE/USDT,0.14399,3526.02712,1710633830623
10400.0,2024-03-17T00:03:58.519Z,limit,DOGE/USDT,0.14416,1499.264,1710633838519
2.0,2024-03-17T00:04:00.197Z,limit,DOGE/USDT,0.14436,0.28872,1710633840197
1.0,2024-03-17T00:04:08.579Z,limit,DOGE/USDT,0.14443,0.14443,1710633848579
4.0,2024-03-17T00:04:13.394Z,limit,DOGE/USDT,0.14451,0.57804,1710633853394
18748.0,2024-03-17T00:04:15.187Z,limit,DOGE/USDT,0.14449,2708.89852,1710633855187
10177.0,2024-03-17T00:04:16.206Z,limit,DOGE/USDT,0.14448,1470.37296,1710633856206
21268.0,2024-03-17T00:04:20.927Z,limit,DOGE/USDT,0.14439,3070.88652,1710633860927
10388.0,2024-03-17T00:04:25.651Z,limit,DOGE/USDT,0.14454,1501.48152,1710633865651
2.0,2024-03-17T00:04:27.426Z,limit,DOGE/USDT,0.14459,0.28918,1710633867426
26185.0,2024-03-17T00:04:27.737Z,limit,DOGE/USDT,0.14453,3784.51805,1710633867737
2195.0,2024-03-17T00:04:38.740Z,limit,DOGE/USDT,0.14472,317.6604,1710633878740
19012.0,2024-03-17T00:04:41.881Z,limit,DOGE/USDT,0.14477,2752.36724,1710633881881
19666.0,2024-03-17T00:04:42.445Z,limit,DOGE/USDT,0.14477,2847.04682,1710633882445
4585.0,2024-03-17T00:04:44.057Z,limit,DOGE/USDT,0.14477,663.77045,1710633884057
3653.0,2024-03-17T00:04:59.791Z,limit,DOGE/USDT,0.14476,528.80828,1710633899791
