cost,timestamp,datetime,price,amount,type,symbol
132.05,1710826127083,2024-03-19T05:28:47.083Z,0.13205,1000.0,,DOGE/USD
99.75999990908,1710826127083,2024-03-19T05:28:47.083Z,0.13204,755.528627,,DOGE/USD
114.8830864713,1710826127083,2024-03-19T05:28:47.083Z,0.13202,870.194565,,DOGE/USD
100.723431985,1710826142458,2024-03-19T05:29:02.458Z,0.13201,762.9985,,DOGE/USD
3.9603e-07,1710826142458,2024-03-19T05:29:02.458Z,0.13201,3e-06,,DOGE/USD
66.0,1710826142458,2024-03-19T05:29:02.458Z,0.132,500.0,,DOGE/USD
26.919459204,1710826142458,2024-03-19T05:29:02.458Z,0.132,203.935297,,DOGE/USD
152.890940796,1710826142458,2024-03-19T05:29:02.458Z,0.132,1158.264703,,DOGE/USD
16.68981627,1710826143295,2024-03-19T05:29:03.295Z,0.13194,126.4955,,DOGE/USD
6.597e-07,1710826143330,2024-03-19T05:29:03.330Z,0.13194,5e-06,,DOGE/USD
15.21484464444,1710826147192,2024-03-19T05:29:07.192Z,0.13181,115.430124,,DOGE/USD
149.05377984,1710826147192,2024-03-19T05:29:07.192Z,0.1318,1130.9088,,DOGE/USD
1.318e-07,1710826147276,2024-03-19T05:29:07.276Z,0.1318,1e-06,,DOGE/USD
683.97689844,1710826147856,2024-03-19T05:29:07.856Z,0.13176,5191.0815,,DOGE/USD
1.58112e-06,1710826147856,2024-03-19T05:29:07.856Z,0.13176,1.2e-05,,DOGE/USD
1.54019710712,1710826147856,2024-03-19T05:29:07.856Z,0.13174,11.691188,,DOGE/USD
3.68872e-06,1710826175753,2024-03-19T05:29:35.753Z,0.13174,2.8e-05,,DOGE/USD
10.561408704,1710826181221,2024-03-19T05:29:41.221Z,0.13167,80.2112,,DOGE/USD
4.08177e-06,1710826181977,2024-03-19T05:29:41.977Z,0.13167,3.1e-05,,DOGE/USD
4.74578996178,1710826187055,2024-03-19T05:29:47.055Z,0.13153,36.081426,,DOGE/USD
699.99999785,1710826190543,2024-03-19T05:29:50.543Z,0.1315,5323.1939,,DOGE/USD
2.104e-06,1710826190544,2024-03-19T05:29:50.544Z,0.1315,1.6e-05,,DOGE/USD
15.20682954516,1710826190544,2024-03-19T05:29:50.544Z,0.13149,115.650084,,DOGE/USD
2.89278e-06,1710826190544,2024-03-19T05:29:50.544Z,0.13149,2.2e-05,,DOGE/USD
