buy_exchange,sell_exchange,volume,profit,fund_remaintime
gemini,okx,129178763.0,24.296031939997192,10856.147151594982,76.97898578643799
gemini,okx,129178763.0,24.305029321998518,10880.45218091698,77.99817395210266
gemini,okx,129178763.0,24.31522853399838,10904.767409450978,79.0029730796814
gemini,okx,129178763.0,24.31522853399656,10929.082637984975,80.01898503303528
gemini,okx,129178763.0,24.33277311400161,10953.415411098977,81.03699517250061
gemini,okx,129178763.0,24.19320941999831,10977.608620518975,82.04899048805237
gemini,okx,129178763.0,24.233479861000887,11001.842100379976,83.06598925590515
gemini,okx,129178763.0,24.23347986099907,11026.075580240975,84.07697558403015
gemini,okx,129178763.0,24.287824712997462,11050.363404953972,85.09097337722778
gemini,okx,129178763.0,24.26110865699775,11074.62451361097,86.0930118560791
gemini,okx,129178763.0,23.781802595000045,11098.40631620597,87.10196781158447
